"STATION","NAME","DATE","PRCP"
"USW00025333","SITKA AIRPORT, AK US","2024-04-01","0.8"
"USW00025333","SITKA AIRPORT, AK US","2024-04-02","1.3"
"USW00025333","SITKA AIRPORT, AK US","2024-04-03","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-04-04","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-04-05","18.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-06","6.9"
"USW00025333","SITKA AIRPORT, AK US","2024-04-07","25.9"
"USW00025333","SITKA AIRPORT, AK US","2024-04-08","15.7"
"USW00025333","SITKA AIRPORT, AK US","2024-04-09","3.3"
"USW00025333","SITKA AIRPORT, AK US","2024-04-10","11.7"
"USW00025333","SITKA AIRPORT, AK US","2024-04-11","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-12","13.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-13","5.6"
"USW00025333","SITKA AIRPORT, AK US","2024-04-14","5.3"
"USW00025333","SITKA AIRPORT, AK US","2024-04-15","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-16","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-17","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-18","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-19","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-20","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-21","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-04-22","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-23","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-24","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-25","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-26","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-27","0.8"
"USW00025333","SITKA AIRPORT, AK US","2024-04-28","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-29","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-04-30","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-01","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-02","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-03","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-04","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-05","2.8"
"USW00025333","SITKA AIRPORT, AK US","2024-05-06","5.3"
"USW00025333","SITKA AIRPORT, AK US","2024-05-07","11.7"
"USW00025333","SITKA AIRPORT, AK US","2024-05-08","15.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-09","39.9"
"USW00025333","SITKA AIRPORT, AK US","2024-05-10","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-05-11","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-12","16.5"
"USW00025333","SITKA AIRPORT, AK US","2024-05-13","11.9"
"USW00025333","SITKA AIRPORT, AK US","2024-05-14","5.3"
"USW00025333","SITKA AIRPORT, AK US","2024-05-15","3.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-16","0.3"
"USW00025333","SITKA AIRPORT, AK US","2024-05-17","0.5"
"USW00025333","SITKA AIRPORT, AK US","2024-05-18","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-19","5.1"
"USW00025333","SITKA AIRPORT, AK US","2024-05-20","8.9"
"USW00025333","SITKA AIRPORT, AK US","2024-05-21","0.0"
"USW00025333","SITKA AIRPORT, AK US","2024-05-22","6.6"
"USW00025333","SITKA AIRPORT, AK US","2024-05-23","11.7"
